A,B,nAB,nA,nB,M,pAB,pA,pB,lift,pmi
Banana,Strong Divine Potion,27,277,75,887,0.030439684329199548,0.31228861330326946,0.08455467869222097,1.1527797833935016,0.20511693991946298
Amulet of the Wild,Star of Courage,28,139,155,887,0.03156708004509583,0.15670800450958286,0.17474633596392333,1.1527500580181016,0.20507973836092294
Corrupted Crystal,Darkest Lotus,20,405,38,887,0.02254791431792559,0.45659526493799324,0.04284103720405862,1.1526965562053282,0.20501277797285372
Box of Riches,Heart Container,21,101,160,887,0.02367531003382187,0.11386696730552424,0.18038331454340473,1.1526608910891087,0.20496813944066686
Amulet of Darkness,Relic Case,76,128,457,887,0.08568207440811725,0.14430665163472378,0.5152198421645998,1.1524206783369804,0.20466745268657974
Relic Case,Turbo-Shelly,38,457,64,887,0.04284103720405862,0.5152198421645998,0.07215332581736189,1.1524206783369801,0.20466745268657946
Box of Riches,Snow Stick,29,101,221,887,0.03269447576099211,0.11386696730552424,0.2491544532130778,1.1524125263205054,0.20465724728540974
Toad,Uniquely Unique,20,358,43,887,0.02254791431792559,0.4036076662908681,0.048478015783540024,1.1523970378069377,0.20463785722207178
Doom Cap,Flawed Emerald,37,160,178,887,0.04171364148816235,0.18038331454340473,0.20067643742953778,1.1523525280898876,0.20458213407625356
Djinn Lamp,Doom Cap,37,178,160,887,0.04171364148816235,0.20067643742953778,0.18038331454340473,1.1523525280898876,0.20458213407625356
Flawed Topaz,Time Melting,22,232,73,887,0.02480270574971815,0.2615558060879369,0.08229988726042842,1.1522201228153046,0.2044163589307717
Flawed Emerald,Paradise Birb,40,178,173,887,0.04509582863585118,0.20067643742953778,0.19503945885005636,1.1521725011365849,0.20435673058530363
Jynx torquilla,Maneki-neko,87,197,340,887,0.09808342728297632,0.22209695603156707,0.3833145434047351,1.1521200358315917,0.20429103455571443
Corrupted Armor,Enchanted Weapons,27,315,66,887,0.030439684329199548,0.3551296505073281,0.07440811724915446,1.1519480519480518,0.2040756587188
Chipped Emerald,Toad,106,228,358,887,0.11950394588500564,0.2570462232243517,0.4036076662908681,1.1518916005096542,0.2040049574352652
Platinum Customer Card,Snowball,72,196,283,887,0.08117249154453213,0.2209695603156708,0.31905298759864714,1.151366553688613,0.20334720879628548
Flawed Topaz,Prismatic Orb,106,232,352,887,0.11950394588500564,0.2615558060879369,0.3968432919954904,1.1513273902821315,0.20329813509939346
Cupcake,Storage Coffin,25,39,494,887,0.02818489289740699,0.043968432919954906,0.5569334836527621,1.150991383784906,0.20287703362886245
Cap of Resilience,Fanfare,33,289,88,887,0.03720405862457723,0.3258173618940248,0.0992108229988726,1.1509515570934257,0.20282711252154131
Cap of Resilience,Ruby Chonk,42,289,112,887,0.04735062006764374,0.3258173618940248,0.1262683201803833,1.1509515570934254,0.20282711252154104
Amulet of Steel,Demonic Flask,31,132,181,887,0.03494926719278467,0.1488162344983089,0.2040586245772266,1.150887326301691,0.20274659824628036
Glowing Crown,Moon Shield,39,226,133,887,0.043968432919954906,0.2547914317925592,0.14994363021420518,1.15087497504824,0.20273111524693496
Amulet of Darkness,Banana,46,128,277,887,0.05186020293122886,0.14430665163472378,0.31228861330326946,1.150778429602888,0.20261008430888833
Banana,Turbo-Shelly,23,277,64,887,0.02593010146561443,0.31228861330326946,0.07215332581736189,1.150778429602888,0.20261008430888833
Oil Lamp,Vampiric Potion,33,265,96,887,0.03720405862457723,0.2987598647125141,0.10822998872604284,1.1505896226415093,0.20237336348779947
Power of the Moon,Wolpertinger,26,95,211,887,0.029312288613303268,0.10710259301014656,0.237880496054115,1.1505113494637065,0.20227521540402285
Cap of Discomfort,Wolpertinger,136,497,211,887,0.15332581736189402,0.560315670800451,0.237880496054115,1.150333279296633,0.20205190528193212
Banana,Mr. Struggles,125,277,348,887,0.14092446448703494,0.31228861330326946,0.3923337091319053,1.1502033279389186,0.2018889170652342
Hammer,Relic Case,32,54,457,887,0.036076662908680945,0.060879368658399095,0.5152198421645998,1.150174244266148,0.20185243707952566
Flame Badge,Sir Sand,27,85,245,887,0.030439684329199548,0.09582863585118377,0.2762119503945885,1.1500120048019207,0.20164892132426
Box of Prosperity,Djinn Lamp,24,104,178,887,0.02705749718151071,0.11724915445321307,0.20067643742953778,1.1499567847882455,0.20157964591473015
Miss Fortune,Storage Coffin,130,203,494,887,0.14656144306651633,0.22886133032694475,0.5569334836527621,1.1498574021260046,0.20145495855966444
Prismatic Orb,Winged Boots,47,352,103,887,0.05298759864712514,0.3968432919954904,0.1161217587373168,1.1498510591350397,0.20144700015818562
Health Potion,Strong Heroic Potion,28,120,180,887,0.03156708004509583,0.13528748590755355,0.20293122886133033,1.1498148148148148,0.2014015244204748
Blueberries,Chipped Emerald,112,379,228,887,0.1262683201803833,0.42728297632469,0.2570462232243517,1.1496551404897466,0.20120116402283436
Divine Potion,Doom Cap,45,217,160,887,0.05073280721533258,0.24464487034949267,0.18038331454340473,1.1496255760368665,0.20116406329889716
Relic Case,Winged Boots,61,457,103,887,0.06877113866967305,0.5152198421645998,0.1161217587373168,1.149476323001423,0.20097674962266174
Garlic,Wolpertinger,35,128,211,887,0.03945885005636979,0.14430665163472378,0.237880496054115,1.14947422985782,0.2009741225388453
Chipped Emerald,Prismatic Orb,104,228,352,887,0.11724915445321307,0.2570462232243517,0.3968432919954904,1.1494218500797448,0.20090837964011715
Buy the Holy Light,Corrupted Armor,20,49,315,887,0.02254791431792559,0.0552423900789177,0.3551296505073281,1.1493359248461288,0.200800526685939
Cap of Resilience,Crow,88,289,235,887,0.0992108229988726,0.3258173618940248,0.2649379932356257,1.1493190016932928,0.20077928387268226
Shelly,Time Melting,40,423,73,887,0.04509582863585118,0.4768883878241263,0.08229988726042842,1.1490009391495837,0.20037997718845904
Maneki-neko,No Rush Please,48,340,109,887,0.05411499436302142,0.3833145434047351,0.12288613303269448,1.148839719373988,0.20017753410759193
Amulet of Energy,Chipped Sapphire,31,136,176,887,0.03494926719278467,0.15332581736189402,0.1984216459977452,1.1487717245989306,0.2000921448003026
Chipped Amethyst,Katana,23,301,59,887,0.02593010146561443,0.33934611048478014,0.0665163472378805,1.1487696379300636,0.2000895242365334
Doom Cap,Gloves of Haste,23,160,111,887,0.02593010146561443,0.18038331454340473,0.12514092446448705,1.1487049549549548,0.2000082891206083
Cap of Discomfort,Stone Armor,74,497,115,887,0.0834272829763247,0.560315670800451,0.12965050732807215,1.1484209605458842,0.19965156742335247
Chipped Ruby,Cursed Dagger,53,230,178,887,0.05975197294250282,0.2593010146561443,0.20067643742953778,1.1482901807523207,0.19948726695349037
Chipped Amethyst,Shielded,37,301,95,887,0.04171364148816235,0.33934611048478014,0.10710259301014656,1.1477181325406542,0.19876837483936413
Mana Mastery,Mrs. Struggles,22,49,347,887,0.02480270574971815,0.0552423900789177,0.39120631341600903,1.147679821208022,0.19872021624489178
Power of the Moon,Toad,44,95,358,887,0.0496054114994363,0.10710259301014656,0.4036076662908681,1.1475448397530137,0.1985505273431567
Amulet of the Wild,Chipped Emerald,41,139,228,887,0.046223224351747465,0.15670800450958286,0.2570462232243517,1.147513568092894,0.19851121203089842
Snowball,Vampiric Armor,41,283,112,887,0.046223224351747465,0.31905298759864714,0.1262683201803833,1.147368753154972,0.198329134029661
Cap of Discomfort,Fortuna's Kiss,36,497,56,887,0.040586245772266064,0.560315670800451,0.06313416009019165,1.1473124461052024,0.1982583321234857
Flawless Amethyst,Toad,25,54,358,887,0.02818489289740699,0.060879368658399095,0.4036076662908681,1.1470618663356094,0.19794320464806361
Amulet of Fortune,Doom Cap,24,116,160,887,0.02705749718151071,0.13077790304396844,0.18038331454340473,1.1469827586206895,0.19784370500728546
Death Scythe,Vampiric Armor,21,145,112,887,0.02367531003382187,0.16347237880496054,0.1262683201803833,1.1469827586206895,0.19784370500728546
Relic Case,Reverse!,26,457,44,887,0.029312288613303268,0.5152198421645998,0.0496054114994363,1.1469067037994827,0.19774803874678892
Regular Sapphire,Shelly,41,75,423,887,0.046223224351747465,0.08455467869222097,0.4768883878241263,1.1463199369582349,0.197009755303317
Enchanted Weapons,Maneki-neko,29,66,340,887,0.03269447576099211,0.07440811724915446,0.3833145434047351,1.146301247771836,0.19698623393248074
Chipped Emerald,Ruby Chonk,33,228,112,887,0.03720405862457723,0.2570462232243517,0.1262683201803833,1.146264097744361,0.19693947743717166
Deck of Cards,Pocket Sand,36,251,111,887,0.040586245772266064,0.2829763246899662,0.12514092446448705,1.1461182297835684,0.1967558754424982
Cap of Discomfort,Power of the Moon,61,497,95,887,0.06877113866967305,0.560315670800451,0.10710259301014656,1.1459705602033252,0.19656998197071615
Chipped Topaz,Winged Boots,33,248,103,887,0.03720405862457723,0.27959413754227735,0.1161217587373168,1.145905104917006,0.1964875760894237
Gloves of Haste,Oil Lamp,38,111,265,887,0.04284103720405862,0.12514092446448705,0.2987598647125141,1.1458779534251229,0.19645339194398145
Flawed Ruby,Shelly,100,183,423,887,0.11273957158962795,0.20631341600901917,0.4768883878241263,1.1458615923213062,0.1964327926717963
Regular Emerald,Relic Case,49,83,457,887,0.0552423900789177,0.0935738444193912,0.5152198421645998,1.1458437689488807,0.1964103520112775
Cap of Resilience,Pineapple,28,289,75,887,0.03156708004509583,0.3258173618940248,0.08455467869222097,1.145836216839677,0.19640084336210817
Cap of Resilience,Strong Divine Potion,28,289,75,887,0.03156708004509583,0.3258173618940248,0.08455467869222097,1.145836216839677,0.19640084336210817
King Goobert,Platinum Customer Card,20,79,196,887,0.02254791431792559,0.08906426155580609,0.2209695603156708,1.1456987858434513,0.19622779689611508
Cauldron,Prismatic Orb,55,121,352,887,0.06200676437429538,0.13641488162344984,0.3968432919954904,1.1454028925619835,0.1958551519138317
Chipped Sapphire,Holo Fire Lizard,30,176,132,887,0.033821871476888386,0.1984216459977452,0.1488162344983089,1.1454028925619835,0.1958551519138317
Bag of Stones,Prismatic Orb,20,44,352,887,0.02254791431792559,0.0496054114994363,0.3968432919954904,1.1454028925619832,0.19585515191383143
Echoing Battlecry,Mrs. Struggles,43,96,347,887,0.048478015783540024,0.10822998872604284,0.39120631341600903,1.1449627761767531,0.19530069570374473
Fly Agaric,Stone Helm,30,127,183,887,0.033821871476888386,0.14317925591882752,0.20631341600901917,1.1449593390990058,0.1952963648533738
Chipped Ruby,Garlic,38,230,128,887,0.04284103720405862,0.2593010146561443,0.14430665163472378,1.1449048913043478,0.19522775680027413
Holdall,Relic Case,23,39,457,887,0.02593010146561443,0.043968432919954906,0.5152198421645998,1.1446445603994837,0.19489967643775857
Health Potion,Star of Courage,24,120,155,887,0.02705749718151071,0.13528748590755355,0.17474633596392333,1.1445161290322579,0.1947377941394637
Chipped Amethyst,Winged Boots,40,301,103,887,0.04509582863585118,0.33934611048478014,0.1161217587373168,1.144405380124504,0.19459818524550568
Manathirst,Maneki-neko,25,57,340,887,0.02818489289740699,0.06426155580608793,0.3833145434047351,1.1442208462332302,0.1943655337733452
Cap of Discomfort,Flawless Emerald,25,497,39,887,0.02818489289740699,0.560315670800451,0.043968432919954906,1.1440437496775524,0.19414222365125394
Cap of Discomfort,Holdall,25,497,39,887,0.02818489289740699,0.560315670800451,0.043968432919954906,1.1440437496775524,0.19414222365125394
King Goobert,Oil Lamp,27,79,265,887,0.030439684329199548,0.08906426155580609,0.2987598647125141,1.1439694291855742,0.19404849883686773
Corrupted Armor,Doom Cap,65,315,160,887,0.07328072153325817,0.3551296505073281,0.18038331454340473,1.1439484126984125,0.194021994054877
Relic Case,Ruby Chonk,66,457,112,887,0.07440811724915446,0.5152198421645998,0.1262683201803833,1.143755861206627,0.1937791365438434
False Life,Strong Health Potion,29,173,130,887,0.03269447576099211,0.19503945885005636,0.14656144306651633,1.1437527790128947,0.193775248763457
Banana,Vampiric Armor,40,277,112,887,0.04509582863585118,0.31228861330326946,0.1262683201803833,1.1436307374935535,0.19362130108163392
Flawed Topaz,Shield of Valor,32,232,107,887,0.036076662908680945,0.2615558060879369,0.12063134160090191,1.1434096036094101,0.19334231277234465
Cap of Discomfort,Divine Potion,139,497,217,887,0.15670800450958286,0.560315670800451,0.24464487034949267,1.1432002151155782,0.1930780930178058
Blood Manipulation,Wolpertinger,31,114,211,887,0.03494926719278467,0.12852311161217586,0.237880496054115,1.1431362767107345,0.19299740181601266
Amulet of Steel,Snake,25,132,147,887,0.02818489289740699,0.1488162344983089,0.1657271702367531,1.1428056070913215,0.1925800198809709
Bag of Stones,Storage Coffin,28,44,494,887,0.03156708004509583,0.0496054114994363,0.5569334836527621,1.1426205373573795,0.19234636613669306
Ruby Whelp,Shelly,73,134,423,887,0.08229988726042842,0.15107102593010147,0.4768883878241263,1.1423555978970397,0.19201180960335898
Cap of Discomfort,Heart of Darkness,32,497,50,887,0.036076662908680945,0.560315670800451,0.05636978579481398,1.1422132796780684,0.191832062964053
Oil Lamp,Wolpertinger,72,265,211,887,0.08117249154453213,0.2987598647125141,0.237880496054115,1.1421622104980773,0.1917675575856294
Divine Potion,Maneki-neko,95,217,340,887,0.10710259301014656,0.24464487034949267,0.3833145434047351,1.1421116833830307,0.19170373404983074
Chipped Emerald,Storage Coffin,145,228,494,887,0.16347237880496054,0.2570462232243517,0.5569334836527621,1.141904609702394,0.1914421385665794
Garlic,Prismatic Orb,58,128,352,887,0.06538895152198422,0.14430665163472378,0.3968432919954904,1.1418235085227273,0.19133967079133876
Amulet of Energy,Cap of Discomfort,87,136,497,887,0.09808342728297632,0.15332581736189402,0.560315670800451,1.1416883654870398,0.19116890733716646
Shiny Shell,Storage Coffin,110,173,494,887,0.12401352874859076,0.19503945885005636,0.5569334836527621,1.1416770026444503,0.19115454860432132
Blueberries,Girl Power,20,379,41,887,0.02254791431792559,0.42728297632469,0.046223224351747465,1.1416436064096787,0.19111234639925057
Deck of Cards,Glowing Crown,73,251,226,887,0.08229988726042842,0.2829763246899662,0.2547914317925592,1.1414695201494907,0.19089233681512158
Maneki-neko,Turbo-Shelly,28,340,64,887,0.03156708004509583,0.3833145434047351,0.07215332581736189,1.141360294117647,0.19075428022096622
Banana,Cap of Resilience,103,277,289,887,0.1161217587373168,0.31228861330326946,0.3258173618940248,1.1412564176233244,0.19062297293441494
Chipped Emerald,Pineapple,22,228,75,887,0.02480270574971815,0.2570462232243517,0.08455467869222097,1.1411695906432748,0.19051320827773854
Fortuna's Kiss,Mrs. Struggles,25,56,347,887,0.02818489289740699,0.06313416009019165,0.39120631341600903,1.1411589131329765,0.19049970943992348
Mana Orb,Snake,59,312,147,887,0.0665163472378805,0.35174746335963925,0.1657271702367531,1.1410474446188732,0.1903587799642924
Chipped Amethyst,Flute,48,301,124,887,0.05411499436302142,0.33934611048478014,0.13979706877113868,1.140713749866038,0.1899368078756429
Bloodthorne,Chipped Amethyst,48,124,301,887,0.05411499436302142,0.13979706877113868,0.33934611048478014,1.140713749866038,0.1899368078756429
Ace of Spades,Chipped Amethyst,24,62,301,887,0.02705749718151071,0.06989853438556934,0.33934611048478014,1.140713749866038,0.1899368078756429
Corrupted Crystal,Echoing Battlecry,50,405,96,887,0.05636978579481398,0.45659526493799324,0.10822998872604284,1.1406893004115226,0.1899058855826453
Amulet of Alchemy,Stone Helm,24,102,183,887,0.02705749718151071,0.11499436302142052,0.20631341600901917,1.1404693024750885,0.18962761476668213
Flame Badge,Stone Helm,20,85,183,887,0.02254791431792559,0.09582863585118377,0.20631341600901917,1.1404693024750883,0.18962761476668186
Amulet of Fortune,Chipped Emerald,34,116,228,887,0.038331454340473504,0.13077790304396844,0.2570462232243517,1.1402752571082877,0.18938212625908915
Divine Potion,Snake,41,217,147,887,0.046223224351747465,0.24464487034949267,0.1657271702367531,1.140067086742531,0.18911872163830384
Deck of Cards,Flawed Sapphire,50,251,155,887,0.05636978579481398,0.2829763246899662,0.17474633596392333,1.13995630381699,0.18897852485077887
Box of Prosperity,Divine Potion,29,104,217,887,0.03269447576099211,0.11724915445321307,0.24464487034949267,1.1397997164126197,0.18878033884306458
Flawed Topaz,Oil Lamp,79,232,265,887,0.08906426155580609,0.2615558060879369,0.2987598647125141,1.13976903057905,0.18874149790003303
Amulet of the Wild,Platinum Customer Card,35,139,196,887,0.03945885005636979,0.15670800450958286,0.2209695603156708,1.1395169578622817,0.18842239440731479
Amulet of the Wild,Healing Herbs,25,139,140,887,0.02818489289740699,0.15670800450958286,0.15783540022547915,1.1395169578622815,0.1884223944073145
