round,item_name,matches_reached,usage_matches,usage_rate,wins,winrate_pct
2,Amulet of Feasting,477,5,0.010482180293501049,5,100.0
2,Oil Lamp,477,5,0.010482180293501049,4,80.0
2,Amulet of Fortune,477,5,0.010482180293501049,4,80.0
2,Magic Staff,477,4,0.008385744234800839,4,100.0
2,Reverse!,477,3,0.006289308176100629,3,100.0
2,Shepherd’s Crook,477,3,0.006289308176100629,3,100.0
2,Pestilence Flask,477,3,0.006289308176100629,3,100.0
2,Puzzlebag of Love,477,3,0.006289308176100629,3,100.0
2,Toad,477,3,0.006289308176100629,2,66.66666666666666
2,Twine,477,2,0.0041928721174004195,2,100.0
2,Blood Amulet,477,2,0.0041928721174004195,2,100.0
2,Forging Hammer,477,2,0.0041928721174004195,2,100.0
2,Demonic Flask,477,2,0.0041928721174004195,2,100.0
2,Poison Spear,477,2,0.0041928721174004195,2,100.0
2,Shortbow,477,2,0.0041928721174004195,1,50.0
2,Snowball,477,2,0.0041928721174004195,1,50.0
2,Mana Orb,477,2,0.0041928721174004195,0,0.0
2,Flawed Emerald,477,2,0.0041928721174004195,0,0.0
2,Poison Dagger,477,1,0.0020964360587002098,1,100.0
2,Flawless Ruby,477,1,0.0020964360587002098,1,100.0
2,Flawed Ruby,477,1,0.0020964360587002098,1,100.0
2,Flawed Amethyst,477,1,0.0020964360587002098,1,100.0
2,Corrupted Crystal,477,1,0.0020964360587002098,1,100.0
2,Heroic Potion,477,1,0.0020964360587002098,1,100.0
2,Wand of Equilibrium,477,1,0.0020964360587002098,1,100.0
2,Mana Potion,477,1,0.0020964360587002098,1,100.0
2,Box of Prosperity,477,1,0.0020964360587002098,1,100.0
2,Stone Skin Potion,477,1,0.0020964360587002098,1,100.0
2,Sir Sand,477,1,0.0020964360587002098,1,100.0
2,Chili Pepper,477,1,0.0020964360587002098,1,100.0
2,Burning Coal,477,1,0.0020964360587002098,0,0.0
3,Leather Bag,477,477,1.0,414,86.79245283018868
